"Wavelength"   "295 K"      "243 K"      "228 K"      "218 K"
  195.8300   3.6663E-19   3.6365E-19   3.6413E-19   3.6444E-19
  195.8400   3.6636E-19   3.6340E-19   3.6404E-19   3.6426E-19
  195.8500   3.6650E-19   3.6348E-19   3.6370E-19   3.6390E-19
  195.8600   3.6637E-19   3.6326E-19   3.6329E-19   3.6353E-19
  195.8700   3.6592E-19   3.6313E-19   3.6321E-19   3.6343E-19
  195.8800   3.6517E-19   3.6273E-19   3.6294E-19   3.6334E-19
  195.8900   3.6525E-19   3.6238E-19   3.6291E-19   3.6328E-19
  195.9000   3.6561E-19   3.6228E-19   3.6263E-19   3.6325E-19
  195.9100   3.6574E-19   3.6240E-19   3.6239E-19   3.6322E-19
  195.9200   3.6494E-19   3.6227E-19   3.6229E-19   3.6299E-19
  195.9300   3.6471E-19   3.6240E-19   3.6215E-19   3.6264E-19
  195.9400   3.6515E-19   3.6228E-19   3.6202E-19   3.6216E-19
  195.9500   3.6481E-19   3.6213E-19   3.6188E-19   3.6179E-19
  195.9600   3.6530E-19   3.6177E-19   3.6180E-19   3.6142E-19
  195.9700   3.6571E-19   3.6146E-19   3.6188E-19   3.6092E-19
  195.9800   3.6531E-19   3.6134E-19   3.6148E-19   3.6070E-19
  195.9900   3.6450E-19   3.6123E-19   3.6101E-19   3.6042E-19
  196.0000   3.6434E-19   3.6096E-19   3.6060E-19   3.6018E-19
  196.0100   3.6434E-19   3.6061E-19   3.6011E-19   3.6014E-19
  196.0200   3.6378E-19   3.6051E-19   3.5987E-19   3.6005E-19
  196.0300   3.6358E-19   3.6017E-19   3.5976E-19   3.6022E-19
  196.0400   3.6328E-19   3.5989E-19   3.5992E-19   3.6018E-19
  196.0500   3.6319E-19   3.5956E-19   3.6002E-19   3.5995E-19
  196.0600   3.6315E-19   3.5920E-19   3.5994E-19   3.6008E-19
  196.0700   3.6320E-19   3.5907E-19   3.5969E-19   3.5996E-19
  196.0800   3.6303E-19   3.5895E-19   3.5951E-19   3.5971E-19
  196.0900   3.6280E-19   3.5870E-19   3.5900E-19   3.5950E-19
  196.1000   3.6232E-19   3.5848E-19   3.5870E-19   3.5925E-19
  196.1100   3.6236E-19   3.5813E-19   3.5841E-19   3.5911E-19
  196.1200   3.6236E-19   3.5789E-19   3.5835E-19   3.5873E-19
  196.1300   3.6217E-19   3.5767E-19   3.5830E-19   3.5853E-19
  196.1400   3.6177E-19   3.5733E-19   3.5826E-19   3.5848E-19
  196.1500   3.6229E-19   3.5741E-19   3.5814E-19   3.5834E-19
  196.1600   3.6192E-19   3.5732E-19   3.5784E-19   3.5818E-19
  196.1700   3.6222E-19   3.5720E-19   3.5745E-19   3.5784E-19
  196.1800   3.6218E-19   3.5692E-19   3.5717E-19   3.5752E-19
  196.1900   3.6247E-19   3.5661E-19   3.5696E-19   3.5721E-19
  196.2000   3.6151E-19   3.5641E-19   3.5688E-19   3.5704E-19
  196.2100   3.6134E-19   3.5655E-19   3.5697E-19   3.5703E-19
  196.2200   3.6148E-19   3.5644E-19   3.5693E-19   3.5702E-19
  196.2300   3.6107E-19   3.5643E-19   3.5692E-19   3.5706E-19
  196.2400   3.5995E-19   3.5624E-19   3.5653E-19   3.5689E-19
  196.2500   3.5963E-19   3.5604E-19   3.5618E-19   3.5648E-19
  196.2600   3.5923E-19   3.5584E-19   3.5595E-19   3.5611E-19
  196.2700   3.5912E-19   3.5554E-19   3.5575E-19   3.5583E-19
  196.2800   3.5872E-19   3.5532E-19   3.5569E-19   3.5575E-19
  196.2900   3.5890E-19   3.5525E-19   3.5559E-19   3.5567E-19
  196.3000   3.5871E-19   3.5494E-19   3.5555E-19   3.5552E-19
  196.3100   3.5856E-19   3.5449E-19   3.5551E-19   3.5542E-19
  196.3200   3.5798E-19   3.5419E-19   3.5515E-19   3.5526E-19
  196.3300   3.5784E-19   3.5397E-19   3.5472E-19   3.5505E-19
  196.3400   3.5783E-19   3.5378E-19   3.5463E-19   3.5502E-19
  196.3500   3.5724E-19   3.5356E-19   3.5450E-19   3.5492E-19
  196.3600   3.5690E-19   3.5333E-19   3.5425E-19   3.5502E-19
  196.3700   3.5655E-19   3.5313E-19   3.5387E-19   3.5484E-19
  196.3800   3.5640E-19   3.5305E-19   3.5372E-19   3.5474E-19
