"Wavelength"   "295 K"      "243 K"      "228 K"      "218 K"
  203.6500   3.3278E-19   3.3062E-19   3.2976E-19   3.3153E-19
  203.6600   3.3263E-19   3.3054E-19   3.2987E-19   3.3177E-19
  203.6700   3.3314E-19   3.3044E-19   3.2993E-19   3.3191E-19
  203.6800   3.3331E-19   3.3041E-19   3.3002E-19   3.3222E-19
  203.6900   3.3355E-19   3.3036E-19   3.3012E-19   3.3263E-19
  203.7000   3.3392E-19   3.3034E-19   3.3038E-19   3.3290E-19
  203.7100   3.3383E-19   3.3056E-19   3.3055E-19   3.3307E-19
  203.7200   3.3367E-19   3.3072E-19   3.3079E-19   3.3299E-19
  203.7300   3.3399E-19   3.3100E-19   3.3113E-19   3.3295E-19
  203.7400   3.3382E-19   3.3113E-19   3.3135E-19   3.3298E-19
  203.7500   3.3400E-19   3.3147E-19   3.3168E-19   3.3290E-19
  203.7600   3.3358E-19   3.3171E-19   3.3184E-19   3.3296E-19
  203.7700   3.3368E-19   3.3188E-19   3.3190E-19   3.3312E-19
  203.7800   3.3408E-19   3.3219E-19   3.3203E-19   3.3327E-19
  203.7900   3.3423E-19   3.3255E-19   3.3220E-19   3.3337E-19
  203.8000   3.3446E-19   3.3292E-19   3.3229E-19   3.3345E-19
  203.8100   3.3461E-19   3.3317E-19   3.3234E-19   3.3354E-19
  203.8200   3.3506E-19   3.3326E-19   3.3238E-19   3.3385E-19
  203.8300   3.3499E-19   3.3349E-19   3.3253E-19   3.3411E-19
  203.8400   3.3524E-19   3.3356E-19   3.3279E-19   3.3439E-19
  203.8500   3.3547E-19   3.3363E-19   3.3298E-19   3.3480E-19
  203.8600   3.3554E-19   3.3390E-19   3.3314E-19   3.3500E-19
  203.8700   3.3572E-19   3.3399E-19   3.3326E-19   3.3504E-19
  203.8800   3.3566E-19   3.3406E-19   3.3335E-19   3.3504E-19
  203.8900   3.3579E-19   3.3409E-19   3.3337E-19   3.3504E-19
  203.9000   3.3599E-19   3.3420E-19   3.3347E-19   3.3513E-19
  203.9100   3.3616E-19   3.3438E-19   3.3373E-19   3.3539E-19
  203.9200   3.3686E-19   3.3472E-19   3.3421E-19   3.3562E-19
  203.9300   3.3681E-19   3.3503E-19   3.3440E-19   3.3602E-19
  203.9400   3.3735E-19   3.3545E-19   3.3450E-19   3.3632E-19
  203.9500   3.3766E-19   3.3572E-19   3.3450E-19   3.3657E-19
  203.9600   3.3811E-19   3.3589E-19   3.3466E-19   3.3688E-19
  203.9700   3.3823E-19   3.3608E-19   3.3472E-19   3.3709E-19
  203.9800   3.3814E-19   3.3623E-19   3.3482E-19   3.3729E-19
  203.9900   3.3806E-19   3.3636E-19   3.3500E-19   3.3762E-19
  204.0000   3.3828E-19   3.3657E-19   3.3526E-19   3.3774E-19
  204.0100   3.3788E-19   3.3660E-19   3.3541E-19   3.3787E-19
  204.0200   3.3813E-19   3.3663E-19   3.3529E-19   3.3790E-19
  204.0300   3.3838E-19   3.3663E-19   3.3548E-19   3.3807E-19
  204.0400   3.3875E-19   3.3666E-19   3.3562E-19   3.3820E-19
  204.0500   3.3874E-19   3.3665E-19   3.3582E-19   3.3814E-19
  204.0600   3.3910E-19   3.3677E-19   3.3599E-19   3.3815E-19
  204.0700   3.3931E-19   3.3699E-19   3.3606E-19   3.3829E-19
  204.0800   3.3889E-19   3.3732E-19   3.3611E-19   3.3855E-19
  204.0900   3.3912E-19   3.3771E-19   3.3623E-19   3.3878E-19
  204.1000   3.3971E-19   3.3791E-19   3.3622E-19   3.3910E-19
  204.1100   3.3990E-19   3.3816E-19   3.3651E-19   3.3950E-19
  204.1200   3.3980E-19   3.3857E-19   3.3681E-19   3.3962E-19
  204.1300   3.4041E-19   3.3886E-19   3.3706E-19   3.3966E-19
  204.1400   3.4041E-19   3.3911E-19   3.3720E-19   3.3967E-19
  204.1500   3.4051E-19   3.3917E-19   3.3744E-19   3.3967E-19
  204.1600   3.4118E-19   3.3937E-19   3.3737E-19   3.3981E-19
  204.1700   3.4111E-19   3.3950E-19   3.3739E-19   3.3985E-19
  204.1800   3.4091E-19   3.3951E-19   3.3754E-19   3.4000E-19
  204.1900   3.4093E-19   3.3972E-19   3.3780E-19   3.4032E-19
  204.2000   3.4110E-19   3.4017E-19   3.3833E-19   3.4055E-19
  204.2100   3.4074E-19   3.4034E-19   3.3849E-19   3.4078E-19
  204.2200   3.4091E-19   3.4050E-19   3.3862E-19   3.4117E-19
  204.2300   3.4137E-19   3.4073E-19   3.3889E-19   3.4142E-19
  204.2400   3.4177E-19   3.4096E-19   3.3896E-19   3.4151E-19
  204.2500   3.4198E-19   3.4100E-19   3.3922E-19   3.4157E-19
  204.2600   3.4235E-19   3.4110E-19   3.3951E-19   3.4154E-19
  204.2700   3.4235E-19   3.4128E-19   3.4000E-19   3.4179E-19
  204.2800   3.4220E-19   3.4154E-19   3.4046E-19   3.4186E-19
  204.2900   3.4272E-19   3.4150E-19   3.4054E-19   3.4196E-19
  204.3000   3.4261E-19   3.4188E-19   3.4054E-19   3.4220E-19
  204.3100   3.4277E-19   3.4225E-19   3.4050E-19   3.4238E-19
  204.3200   3.4290E-19   3.4251E-19   3.4050E-19   3.4261E-19
  204.3300   3.4314E-19   3.4269E-19   3.4052E-19   3.4287E-19
  204.3400   3.4336E-19   3.4295E-19   3.4056E-19   3.4292E-19
  204.3500   3.4382E-19   3.4318E-19   3.4080E-19   3.4306E-19
  204.3600   3.4401E-19   3.4318E-19   3.4094E-19   3.4307E-19
  204.3700   3.4519E-19   3.4321E-19   3.4101E-19   3.4327E-19
  204.3800   3.4527E-19   3.4340E-19   3.4126E-19   3.4339E-19
  204.3900   3.4529E-19   3.4354E-19   3.4155E-19   3.4364E-19
  204.4000   3.4512E-19   3.4373E-19   3.4205E-19   3.4400E-19
  204.4100   3.4551E-19   3.4389E-19   3.4251E-19   3.4431E-19
  204.4200   3.4573E-19   3.4414E-19   3.4294E-19   3.4454E-19
  204.4300   3.4585E-19   3.4442E-19   3.4319E-19   3.4469E-19
  204.4400   3.4573E-19   3.4452E-19   3.4341E-19   3.4476E-19
  204.4500   3.4620E-19   3.4475E-19   3.4342E-19   3.4487E-19
  204.4600   3.4608E-19   3.4492E-19   3.4343E-19   3.4506E-19
  204.4700   3.4640E-19   3.4512E-19   3.4344E-19   3.4528E-19
  204.4800   3.4641E-19   3.4522E-19   3.4374E-19   3.4546E-19
  204.4900   3.4638E-19   3.4549E-19   3.4403E-19   3.4561E-19
  204.5000   3.4645E-19   3.4582E-19   3.4422E-19   3.4577E-19
  204.5100   3.4666E-19   3.4633E-19   3.4442E-19   3.4613E-19
  204.5200   3.4647E-19   3.4668E-19   3.4468E-19   3.4628E-19
  204.5300   3.4641E-19   3.4699E-19   3.4467E-19   3.4643E-19
  204.5400   3.4688E-19   3.4715E-19   3.4477E-19   3.4669E-19
  204.5500   3.4703E-19   3.4726E-19   3.4492E-19   3.4693E-19
  204.5600   3.4779E-19   3.4713E-19   3.4522E-19   3.4715E-19
  204.5700   3.4834E-19   3.4722E-19   3.4546E-19   3.4734E-19
  204.5800   3.4864E-19   3.4733E-19   3.4564E-19   3.4761E-19
  204.5900   3.4888E-19   3.4758E-19   3.4608E-19   3.4818E-19
  204.6000   3.4872E-19   3.4778E-19   3.4645E-19   3.4856E-19
  204.6100   3.4902E-19   3.4799E-19   3.4661E-19   3.4886E-19
  204.6200   3.4981E-19   3.4835E-19   3.4679E-19   3.4913E-19
  204.6300   3.5027E-19   3.4864E-19   3.4691E-19   3.4934E-19
  204.6400   3.5056E-19   3.4893E-19   3.4708E-19   3.4969E-19
  204.6500   3.5082E-19   3.4920E-19   3.4716E-19   3.4994E-19
  204.6600   3.5086E-19   3.4949E-19   3.4729E-19   3.5006E-19
  204.6700   3.5071E-19   3.4975E-19   3.4757E-19   3.5022E-19
  204.6800   3.5045E-19   3.5009E-19   3.4774E-19   3.5045E-19
  204.6900   3.5030E-19   3.5030E-19   3.4792E-19   3.5054E-19
  204.7000   3.5031E-19   3.5065E-19   3.4806E-19   3.5081E-19
  204.7100   3.5102E-19   3.5068E-19   3.4833E-19   3.5106E-19
  204.7200   3.5166E-19   3.5072E-19   3.4876E-19   3.5141E-19
  204.7300   3.5228E-19   3.5067E-19   3.4904E-19   3.5165E-19
  204.7400   3.5270E-19   3.5084E-19   3.4925E-19   3.5194E-19
  204.7500   3.5304E-19   3.5123E-19   3.4937E-19   3.5219E-19
  204.7600   3.5317E-19   3.5162E-19   3.4937E-19   3.5246E-19
  204.7700   3.5299E-19   3.5190E-19   3.4953E-19   3.5264E-19
  204.7800   3.5274E-19   3.5216E-19   3.4961E-19   3.5286E-19
  204.7900   3.5240E-19   3.5229E-19   3.4996E-19   3.5305E-19
  204.8000   3.5276E-19   3.5238E-19   3.5047E-19   3.5311E-19
  204.8100   3.5312E-19   3.5262E-19   3.5070E-19   3.5324E-19
  204.8200   3.5354E-19   3.5293E-19   3.5100E-19   3.5353E-19
  204.8300   3.5382E-19   3.5328E-19   3.5119E-19   3.5363E-19
  204.8400   3.5413E-19   3.5345E-19   3.5152E-19   3.5386E-19
  204.8500   3.5428E-19   3.5355E-19   3.5188E-19   3.5414E-19
  204.8600   3.5473E-19   3.5363E-19   3.5227E-19   3.5434E-19
  204.8700   3.5517E-19   3.5384E-19   3.5269E-19   3.5452E-19
  204.8800   3.5532E-19   3.5408E-19   3.5307E-19   3.5469E-19
  204.8900   3.5562E-19   3.5434E-19   3.5317E-19   3.5501E-19
  204.9000   3.5566E-19   3.5464E-19   3.5337E-19   3.5522E-19
  204.9100   3.5608E-19   3.5493E-19   3.5333E-19   3.5547E-19
  204.9200   3.5635E-19   3.5519E-19   3.5351E-19   3.5571E-19
  204.9300   3.5668E-19   3.5541E-19   3.5382E-19   3.5590E-19
  204.9400   3.5679E-19   3.5561E-19   3.5414E-19   3.5608E-19
  204.9500   3.5695E-19   3.5575E-19   3.5443E-19   3.5613E-19
  204.9600   3.5664E-19   3.5594E-19   3.5472E-19   3.5644E-19
  204.9700   3.5695E-19   3.5627E-19   3.5498E-19   3.5666E-19
  204.9800   3.5689E-19   3.5673E-19   3.5530E-19   3.5703E-19
  204.9900   3.5755E-19   3.5720E-19   3.5543E-19   3.5740E-19
  205.0000   3.5780E-19   3.5760E-19   3.5570E-19   3.5758E-19
  205.0100   3.5804E-19   3.5793E-19   3.5608E-19   3.5776E-19
  205.0200   3.5806E-19   3.5803E-19   3.5630E-19   3.5808E-19
  205.0300   3.5857E-19   3.5806E-19   3.5652E-19   3.5844E-19
  205.0400   3.5920E-19   3.5807E-19   3.5673E-19   3.5882E-19
  205.0500   3.5939E-19   3.5825E-19   3.5687E-19   3.5907E-19
  205.0600   3.5964E-19   3.5844E-19   3.5699E-19   3.5941E-19
  205.0700   3.6008E-19   3.5867E-19   3.5718E-19   3.5964E-19
  205.0800   3.6010E-19   3.5889E-19   3.5745E-19   3.5975E-19
  205.0900   3.6067E-19   3.5918E-19   3.5772E-19   3.5999E-19
  205.1000   3.6108E-19   3.5953E-19   3.5793E-19   3.6036E-19
  205.1100   3.6138E-19   3.5994E-19   3.5829E-19   3.6060E-19
  205.1200   3.6166E-19   3.6028E-19   3.5865E-19   3.6077E-19
  205.1300   3.6191E-19   3.6072E-19   3.5895E-19   3.6103E-19
  205.1400   3.6198E-19   3.6096E-19   3.5907E-19   3.6117E-19
  205.1500   3.6198E-19   3.6100E-19   3.5930E-19   3.6145E-19
  205.1600   3.6256E-19   3.6104E-19   3.5945E-19   3.6163E-19
  205.1700   3.6276E-19   3.6108E-19   3.5973E-19   3.6203E-19
  205.1800   3.6213E-19   3.6131E-19   3.6003E-19   3.6245E-19
  205.1900   3.6239E-19   3.6147E-19   3.6046E-19   3.6260E-19
  205.2000   3.6235E-19   3.6185E-19   3.6086E-19   3.6279E-19
  205.2100   3.6300E-19   3.6223E-19   3.6115E-19   3.6320E-19
  205.2200   3.6324E-19   3.6259E-19   3.6130E-19   3.6335E-19
  205.2300   3.6352E-19   3.6288E-19   3.6155E-19   3.6367E-19
  205.2400   3.6389E-19   3.6335E-19   3.6185E-19   3.6397E-19
  205.2500   3.6338E-19   3.6373E-19   3.6220E-19   3.6435E-19
  205.2600   3.6393E-19   3.6406E-19   3.6246E-19   3.6445E-19
  205.2700   3.6446E-19   3.6431E-19   3.6275E-19   3.6463E-19
  205.2800   3.6496E-19   3.6461E-19   3.6320E-19   3.6479E-19
  205.2900   3.6536E-19   3.6482E-19   3.6338E-19   3.6519E-19
  205.3000   3.6537E-19   3.6487E-19   3.6351E-19   3.6552E-19
  205.3100   3.6598E-19   3.6509E-19   3.6373E-19   3.6595E-19
  205.3200   3.6623E-19   3.6518E-19   3.6400E-19   3.6631E-19
  205.3300   3.6646E-19   3.6526E-19   3.6414E-19   3.6652E-19
  205.3400   3.6650E-19   3.6539E-19   3.6432E-19   3.6642E-19
  205.3500   3.6644E-19   3.6575E-19   3.6459E-19   3.6661E-19
  205.3600   3.6650E-19   3.6620E-19   3.6499E-19   3.6675E-19
  205.3700   3.6649E-19   3.6680E-19   3.6507E-19   3.6706E-19
  205.3800   3.6698E-19   3.6736E-19   3.6535E-19   3.6764E-19
  205.3900   3.6753E-19   3.6785E-19   3.6573E-19   3.6791E-19
  205.4000   3.6746E-19   3.6814E-19   3.6617E-19   3.6814E-19
  205.4100   3.6788E-19   3.6845E-19   3.6666E-19   3.6838E-19
  205.4200   3.6875E-19   3.6869E-19   3.6725E-19   3.6853E-19
  205.4300   3.6963E-19   3.6880E-19   3.6771E-19   3.6875E-19
  205.4400   3.7033E-19   3.6902E-19   3.6817E-19   3.6888E-19
  205.4500   3.7103E-19   3.6958E-19   3.6844E-19   3.6916E-19
  205.4600   3.7172E-19   3.7012E-19   3.6883E-19   3.6961E-19
  205.4700   3.7168E-19   3.7027E-19   3.6904E-19   3.6978E-19
  205.4800   3.7152E-19   3.7057E-19   3.6920E-19   3.7008E-19
  205.4900   3.7180E-19   3.7076E-19   3.6933E-19   3.7046E-19
  205.5000   3.7180E-19   3.7079E-19   3.6949E-19   3.7075E-19
  205.5100   3.7154E-19   3.7082E-19   3.6965E-19   3.7099E-19
  205.5200   3.7085E-19   3.7104E-19   3.6982E-19   3.7120E-19
  205.5300   3.7145E-19   3.7141E-19   3.7010E-19   3.7156E-19
  205.5400   3.7123E-19   3.7140E-19   3.7045E-19   3.7194E-19
  205.5500   3.7152E-19   3.7171E-19   3.7070E-19   3.7239E-19
  205.5600   3.7194E-19   3.7207E-19   3.7077E-19   3.7296E-19
  205.5700   3.7219E-19   3.7243E-19   3.7079E-19   3.7345E-19
  205.5800   3.7224E-19   3.7273E-19   3.7088E-19   3.7358E-19
  205.5900   3.7262E-19   3.7312E-19   3.7114E-19   3.7380E-19
  205.6000   3.7295E-19   3.7341E-19   3.7130E-19   3.7401E-19
  205.6100   3.7341E-19   3.7343E-19   3.7179E-19   3.7430E-19
  205.6200   3.7353E-19   3.7326E-19   3.7226E-19   3.7463E-19
  205.6300   3.7402E-19   3.7355E-19   3.7258E-19   3.7493E-19
  205.6400   3.7438E-19   3.7375E-19   3.7277E-19   3.7545E-19
  205.6500   3.7468E-19   3.7423E-19   3.7306E-19   3.7581E-19
  205.6600   3.7522E-19   3.7459E-19   3.7323E-19   3.7586E-19
  205.6700   3.7542E-19   3.7498E-19   3.7343E-19   3.7612E-19
  205.6800   3.7584E-19   3.7538E-19   3.7364E-19   3.7639E-19
  205.6900   3.7601E-19   3.7572E-19   3.7391E-19   3.7667E-19
  205.7000   3.7635E-19   3.7601E-19   3.7425E-19   3.7692E-19
  205.7100   3.7659E-19   3.7638E-19   3.7458E-19   3.7712E-19
  205.7200   3.7734E-19   3.7657E-19   3.7496E-19   3.7742E-19
  205.7300   3.7804E-19   3.7684E-19   3.7536E-19   3.7760E-19
  205.7400   3.7829E-19   3.7684E-19   3.7567E-19   3.7798E-19
  205.7500   3.7851E-19   3.7712E-19   3.7592E-19   3.7830E-19
  205.7600   3.7891E-19   3.7746E-19   3.7621E-19   3.7858E-19
  205.7700   3.7911E-19   3.7800E-19   3.7636E-19   3.7894E-19
  205.7800   3.7954E-19   3.7844E-19   3.7681E-19   3.7925E-19
  205.7900   3.7969E-19   3.7891E-19   3.7717E-19   3.7960E-19
  205.8000   3.7944E-19   3.7921E-19   3.7734E-19   3.7981E-19
  205.8100   3.7976E-19   3.7945E-19   3.7750E-19   3.8000E-19
  205.8200   3.8013E-19   3.7967E-19   3.7776E-19   3.8041E-19
  205.8300   3.8014E-19   3.8013E-19   3.7806E-19   3.8054E-19
  205.8400   3.7973E-19   3.8044E-19   3.7838E-19   3.8054E-19
  205.8500   3.7991E-19   3.8064E-19   3.7868E-19   3.8080E-19
  205.8600   3.7982E-19   3.8086E-19   3.7907E-19   3.8121E-19
  205.8700   3.8044E-19   3.8093E-19   3.7935E-19   3.8165E-19
  205.8800   3.8054E-19   3.8112E-19   3.7943E-19   3.8202E-19
  205.8900   3.8107E-19   3.8148E-19   3.7973E-19   3.8254E-19
  205.9000   3.8134E-19   3.8197E-19   3.8019E-19   3.8297E-19
  205.9100   3.8187E-19   3.8245E-19   3.8070E-19   3.8319E-19
  205.9200   3.8186E-19   3.8287E-19   3.8109E-19   3.8315E-19
  205.9300   3.8242E-19   3.8298E-19   3.8142E-19   3.8350E-19
  205.9400   3.8285E-19   3.8355E-19   3.8174E-19   3.8385E-19
  205.9500   3.8356E-19   3.8381E-19   3.8203E-19   3.8418E-19
  205.9600   3.8331E-19   3.8415E-19   3.8228E-19   3.8442E-19
  205.9700   3.8390E-19   3.8455E-19   3.8246E-19   3.8480E-19
  205.9800   3.8416E-19   3.8496E-19   3.8285E-19   3.8523E-19
  205.9900   3.8425E-19   3.8510E-19   3.8311E-19   3.8556E-19
  206.0000   3.8456E-19   3.8532E-19   3.8332E-19   3.8583E-19
  206.0100   3.8467E-19   3.8553E-19   3.8364E-19   3.8614E-19
  206.0200   3.8510E-19   3.8597E-19   3.8392E-19   3.8649E-19
  206.0300   3.8559E-19   3.8615E-19   3.8430E-19   3.8692E-19
  206.0400   3.8573E-19   3.8647E-19   3.8469E-19   3.8714E-19
  206.0500   3.8638E-19   3.8672E-19   3.8486E-19   3.8736E-19
  206.0600   3.8652E-19   3.8696E-19   3.8523E-19   3.8780E-19
  206.0700   3.8698E-19   3.8709E-19   3.8549E-19   3.8815E-19
  206.0800   3.8755E-19   3.8741E-19   3.8584E-19   3.8839E-19
  206.0900   3.8821E-19   3.8777E-19   3.8629E-19   3.8862E-19
  206.1000   3.8845E-19   3.8802E-19   3.8648E-19   3.8898E-19
  206.1100   3.8934E-19   3.8829E-19   3.8684E-19   3.8934E-19
  206.1200   3.8943E-19   3.8865E-19   3.8704E-19   3.8974E-19
  206.1300   3.8951E-19   3.8894E-19   3.8715E-19   3.9014E-19
  206.1400   3.9011E-19   3.8921E-19   3.8734E-19   3.9039E-19
  206.1500   3.9053E-19   3.8978E-19   3.8755E-19   3.9066E-19
  206.1600   3.9095E-19   3.9006E-19   3.8797E-19   3.9085E-19
  206.1700   3.9125E-19   3.9028E-19   3.8838E-19   3.9104E-19
  206.1800   3.9119E-19   3.9061E-19   3.8876E-19   3.9114E-19
  206.1900   3.9148E-19   3.9104E-19   3.8920E-19   3.9148E-19
  206.2000   3.9106E-19   3.9141E-19   3.8954E-19   3.9192E-19
  206.2100   3.9085E-19   3.9172E-19   3.8984E-19   3.9234E-19
  206.2200   3.9122E-19   3.9212E-19   3.9025E-19   3.9274E-19
  206.2300   3.9167E-19   3.9289E-19   3.9064E-19   3.9307E-19
  206.2400   3.9261E-19   3.9310E-19   3.9100E-19   3.9341E-19
  206.2500   3.9274E-19   3.9350E-19   3.9116E-19   3.9349E-19
  206.2600   3.9305E-19   3.9401E-19   3.9153E-19   3.9373E-19
  206.2700   3.9325E-19   3.9424E-19   3.9178E-19   3.9413E-19
  206.2800   3.9360E-19   3.9439E-19   3.9214E-19   3.9440E-19
  206.2900   3.9433E-19   3.9438E-19   3.9252E-19   3.9485E-19
  206.3000   3.9536E-19   3.9433E-19   3.9297E-19   3.9527E-19
  206.3100   3.9582E-19   3.9456E-19   3.9335E-19   3.9560E-19
  206.3200   3.9610E-19   3.9471E-19   3.9359E-19   3.9583E-19
  206.3300   3.9638E-19   3.9507E-19   3.9370E-19   3.9590E-19
  206.3400   3.9707E-19   3.9547E-19   3.9386E-19   3.9605E-19
  206.3500   3.9735E-19   3.9569E-19   3.9411E-19   3.9627E-19
  206.3600   3.9752E-19   3.9593E-19   3.9445E-19   3.9649E-19
  206.3700   3.9779E-19   3.9619E-19   3.9485E-19   3.9692E-19
  206.3800   3.9754E-19   3.9641E-19   3.9525E-19   3.9738E-19
  206.3900   3.9701E-19   3.9689E-19   3.9566E-19   3.9765E-19
  206.4000   3.9735E-19   3.9749E-19   3.9587E-19   3.9774E-19
  206.4100   3.9801E-19   3.9789E-19   3.9621E-19   3.9784E-19
  206.4200   3.9868E-19   3.9829E-19   3.9656E-19   3.9789E-19
  206.4300   3.9902E-19   3.9853E-19   3.9711E-19   3.9825E-19
  206.4400   3.9894E-19   3.9881E-19   3.9763E-19   3.9867E-19
  206.4500   3.9923E-19   3.9902E-19   3.9787E-19   3.9929E-19
  206.4600   3.9957E-19   3.9925E-19   3.9818E-19   4.0004E-19
  206.4700   4.0016E-19   3.9975E-19   3.9853E-19   4.0045E-19
  206.4800   4.0027E-19   4.0008E-19   3.9872E-19   4.0084E-19
  206.4900   4.0024E-19   4.0045E-19   3.9900E-19   4.0103E-19
  206.5000   4.0043E-19   4.0080E-19   3.9938E-19   4.0122E-19
  206.5100   4.0058E-19   4.0114E-19   3.9978E-19   4.0164E-19
  206.5200   4.0111E-19   4.0151E-19   4.0019E-19   4.0197E-19
  206.5300   4.0199E-19   4.0178E-19   4.0031E-19   4.0243E-19
  206.5400   4.0206E-19   4.0212E-19   4.0064E-19   4.0289E-19
  206.5500   4.0251E-19   4.0246E-19   4.0110E-19   4.0315E-19
  206.5600   4.0281E-19   4.0270E-19   4.0132E-19   4.0355E-19
  206.5700   4.0341E-19   4.0314E-19   4.0151E-19   4.0384E-19
  206.5800   4.0360E-19   4.0341E-19   4.0178E-19   4.0430E-19
  206.5900   4.0373E-19   4.0378E-19   4.0218E-19   4.0483E-19
  206.6000   4.0383E-19   4.0428E-19   4.0274E-19   4.0523E-19
  206.6100   4.0393E-19   4.0475E-19   4.0301E-19   4.0570E-19
  206.6200   4.0393E-19   4.0525E-19   4.0340E-19   4.0601E-19
  206.6300   4.0438E-19   4.0577E-19   4.0388E-19   4.0624E-19
  206.6400   4.0503E-19   4.0638E-19   4.0419E-19   4.0664E-19
  206.6500   4.0489E-19   4.0670E-19   4.0442E-19   4.0694E-19
  206.6600   4.0543E-19   4.0677E-19   4.0470E-19   4.0727E-19
  206.6700   4.0574E-19   4.0704E-19   4.0516E-19   4.0770E-19
  206.6800   4.0679E-19   4.0736E-19   4.0580E-19   4.0797E-19
  206.6900   4.0746E-19   4.0754E-19   4.0604E-19   4.0833E-19
  206.7000   4.0799E-19   4.0795E-19   4.0655E-19   4.0845E-19
  206.7100   4.0839E-19   4.0857E-19   4.0693E-19   4.0889E-19
  206.7200   4.0913E-19   4.0930E-19   4.0731E-19   4.0929E-19
  206.7300   4.0955E-19   4.0987E-19   4.0745E-19   4.0959E-19
  206.7400   4.0972E-19   4.1023E-19   4.0776E-19   4.0995E-19
  206.7500   4.0984E-19   4.1049E-19   4.0802E-19   4.1040E-19
  206.7600   4.0993E-19   4.1069E-19   4.0849E-19   4.1052E-19
  206.7700   4.1000E-19   4.1103E-19   4.0881E-19   4.1079E-19
  206.7800   4.1100E-19   4.1138E-19   4.0935E-19   4.1107E-19
  206.7900   4.1150E-19   4.1157E-19   4.0978E-19   4.1168E-19
  206.8000   4.1208E-19   4.1218E-19   4.1020E-19   4.1216E-19
  206.8100   4.1228E-19   4.1255E-19   4.1050E-19   4.1266E-19
  206.8200   4.1277E-19   4.1279E-19   4.1088E-19   4.1307E-19
  206.8300   4.1321E-19   4.1297E-19   4.1124E-19   4.1344E-19
  206.8400   4.1379E-19   4.1343E-19   4.1167E-19   4.1343E-19
  206.8500   4.1428E-19   4.1387E-19   4.1203E-19   4.1363E-19
  206.8600   4.1479E-19   4.1426E-19   4.1250E-19   4.1381E-19
  206.8700   4.1497E-19   4.1443E-19   4.1284E-19   4.1415E-19
  206.8800   4.1546E-19   4.1491E-19   4.1324E-19   4.1456E-19
  206.8900   4.1550E-19   4.1509E-19   4.1364E-19   4.1521E-19
  206.9000   4.1577E-19   4.1538E-19   4.1403E-19   4.1579E-19
  206.9100   4.1629E-19   4.1574E-19   4.1432E-19   4.1631E-19
  206.9200   4.1635E-19   4.1622E-19   4.1474E-19   4.1674E-19
  206.9300   4.1681E-19   4.1664E-19   4.1516E-19   4.1723E-19
  206.9400   4.1694E-19   4.1706E-19   4.1555E-19   4.1765E-19
  206.9500   4.1722E-19   4.1746E-19   4.1590E-19   4.1814E-19
  206.9600   4.1794E-19   4.1791E-19   4.1639E-19   4.1873E-19
  206.9700   4.1854E-19   4.1826E-19   4.1679E-19   4.1916E-19
  206.9800   4.1928E-19   4.1872E-19   4.1712E-19   4.1943E-19
  206.9900   4.1977E-19   4.1911E-19   4.1740E-19   4.1972E-19
  207.0000   4.2060E-19   4.1936E-19   4.1776E-19   4.2002E-19
  207.0100   4.2101E-19   4.1957E-19   4.1812E-19   4.2029E-19
  207.0200   4.2205E-19   4.1978E-19   4.1839E-19   4.2077E-19
  207.0300   4.2150E-19   4.2015E-19   4.1886E-19   4.2132E-19
  207.0400   4.2177E-19   4.2045E-19   4.1925E-19   4.2191E-19
  207.0500   4.2185E-19   4.2071E-19   4.1967E-19   4.2228E-19
  207.0600   4.2212E-19   4.2113E-19   4.1995E-19   4.2268E-19
  207.0700   4.2277E-19   4.2162E-19   4.2043E-19   4.2316E-19
  207.0800   4.2332E-19   4.2203E-19   4.2091E-19   4.2346E-19
  207.0900   4.2310E-19   4.2246E-19   4.2128E-19   4.2369E-19
  207.1000   4.2395E-19   4.2310E-19   4.2160E-19   4.2416E-19
  207.1100   4.2410E-19   4.2360E-19   4.2197E-19   4.2457E-19
  207.1200   4.2481E-19   4.2383E-19   4.2228E-19   4.2510E-19
  207.1300   4.2502E-19   4.2392E-19   4.2275E-19   4.2560E-19
  207.1400   4.2584E-19   4.2419E-19   4.2302E-19   4.2599E-19
  207.1500   4.2611E-19   4.2462E-19   4.2370E-19   4.2646E-19
  207.1600   4.2654E-19   4.2502E-19   4.2416E-19   4.2685E-19
  207.1700   4.2666E-19   4.2543E-19   4.2456E-19   4.2724E-19
  207.1800   4.2710E-19   4.2620E-19   4.2486E-19   4.2778E-19
  207.1900   4.2702E-19   4.2679E-19   4.2517E-19   4.2804E-19
  207.2000   4.2733E-19   4.2733E-19   4.2556E-19   4.2864E-19
  207.2100   4.2815E-19   4.2765E-19   4.2594E-19   4.2904E-19
  207.2200   4.2807E-19   4.2807E-19   4.2629E-19   4.2927E-19
  207.2300   4.2823E-19   4.2844E-19   4.2673E-19   4.2958E-19
  207.2400   4.2891E-19   4.2886E-19   4.2697E-19   4.2998E-19
  207.2500   4.2942E-19   4.2927E-19   4.2740E-19   4.3062E-19
  207.2600   4.3008E-19   4.2984E-19   4.2778E-19   4.3115E-19
  207.2700   4.3035E-19   4.3029E-19   4.2850E-19   4.3159E-19
  207.2800   4.3070E-19   4.3080E-19   4.2923E-19   4.3224E-19
  207.2900   4.3103E-19   4.3108E-19   4.2975E-19   4.3266E-19
  207.3000   4.3138E-19   4.3125E-19   4.3048E-19   4.3299E-19
  207.3100   4.3190E-19   4.3165E-19   4.3096E-19   4.3335E-19
