17 (FJX_scat-cld.dat) scattering phase fns for std aerosols (v 7.0+)
## __name__  R-eff  rho
w(nm)   Q   ss-alb  pi(1) pi(2) pi(3) pi(4) pi(5) pi(6) pi(7)
15 HDust1.5  1.500 2.600
 200 2.2228  0.579 2.705 4.250 5.641 7.023 8.293 9.53910.662
 300 2.2228  0.579 2.705 4.250 5.641 7.023 8.293 9.53910.662
 400 2.2732  0.676 2.539 3.821 4.771 5.881 6.738 7.733 8.463
 600 2.3707  0.890 2.240 3.259 3.544 4.375 4.592 5.292 5.471
 999 2.5751  0.913 2.083 2.944 3.008 3.555 3.538 3.852 3.789
16 HDust2.5  2.500 2.600
 200 2.1579  0.556 2.780 4.476 6.085 7.664 9.18610.67312.096
 300 2.1579  0.556 2.780 4.476 6.085 7.664 9.18610.67312.096
 400 2.1923  0.616 2.678 4.164 5.458 6.813 8.046 9.32510.461
 600 2.2560  0.842 2.391 3.526 4.044 5.035 5.527 6.483 6.961
 999 2.3716  0.869 2.268 3.300 3.634 4.458 4.720 5.401 5.624
17 HDust4.0  4.000 2.600
 200 2.1154  0.550 2.809 4.574 6.281 7.960 9.60711.22412.806
 300 2.1154  0.550 2.809 4.574 6.281 7.960 9.60711.22412.806
 400 2.1402  0.577 2.761 4.405 5.941 7.485 8.97410.46211.878
 600 2.1852  0.786 2.505 3.744 4.488 5.599 6.354 7.485 8.238
 999 2.2637  0.819 2.413 3.563 4.133 5.118 5.652 6.582 7.097


============================================================================

with 7.0, separate aerosol and cloud read-in,
     volcanic aerosols included with clouds & with aerosols
     many odd scattering phase fns dropped
     **** could set up continuous interpolation by R-eff in water clouds,
          and by temperature between the two ice clouds (hexagonal is colder)

01 S-Bkg   LOGN:r=.090 s=.600 n=1.514/.../1.435   reff=0.221___G=.0523_rho=1.630
02 S-Vol   LOGN:r=.080 s=.800 n=1.514/.../1.435   reff=0.386___G=.0721_rho=1.630
03 UT-sulfate LOGN:r=0.05 s=.693 n=1.44           reff=0.166___G=.0205_rho=1.769
04 UT-sulfate LOGN:r=0.05 s=.693 n=1.46           reff=0.166___G=.0205_rho=1.769
05 UT-sulfatM LOGN:r=.050 s=.642 n=1.53           reff=0.140___G=.0179_rho=1.769
06 UM-BC1     LOGN:r=.050 s=.642 n=1.80+0.50i     reff=0.140___G=.0179_rho=1.500
07 UM-BC2     LOGN:r=.080 s=.501 n=1.80+0.50i     reff=0.150___G=.0332_rho=1.500
08 UM-BB08 (%BC)LOGN:r=.080 s=.500 n=1.552+0.04i  reff=0.149___G=.0331_rho=1.230
09 UM-FF04 (%BC) LOGN:r=.050 s=.642 n=1.541+0.02i reff=0.140___G=.0179_rho=1.212
10 UM-FF10 (%BC)LOGN:r=.050 s=.642 n=1.557+0.05i  reff=0.140___G=.0179_rho=1.230
11 MDust.15  (R.V. Martin generated phase fns)    reff=0.150___G=1.000_rho=2.600
12 MDust.25  (R.V. Martin generated phase fns)    reff=0.250___G=1.000_rho=2.600
13 MDust.40  (R.V. Martin generated phase fns)    reff=0.400___G=1.000_rho=2.600
14 MDust.80  (R.V. Martin generated phase fns)    reff=0.800___G=1.000_rho=2.6001
15 MDust1.5  (R.V. Martin generated phase fns)    reff=1.500___G=1.000_rho=2.600
16 MDust2.5  (R.V. Martin generated phase fns)    reff=2.500___G=1.000_rho=2.600
17 MDust4.0  (R.V. Martin generated phase fns)    reff=4.000___G=1.000_rho=2.600


============================================================================
