86400
JDAY_GMT       !XGpsAlt_m      !LAT_degN       !LON_degE       !TEMP_K         !PRESS_hPa      !H2O            !CH2O           !CO             !HNO3           !NO             !NO2            !NO3            !N2O5           !O3             !SO2            !CH4            !PAN            !PPN            !MOH            !ALD2           !ACET           !HCOOH          !MEK            !C2H6           !C3H8           !ALK4           !N2             !O2             !
              0!              0!              0!              0!              0!              0!              0!              0!              0!              0!              0!              0!              0!              0!              0!              0!              0!              0!              0!              0!              0!              0!              0!              0!              0!              0!              0!              0!              0!
    2006186.000!  0.000000E+003!  0.300000E+002! -0.900000E+002!  0.288000E+003!  1.013250E+003!  0.950000E-002!  0.271410E-008!  0.142200E-006!  0.754000E-009!  0.178790E-008!  0.593280E-008!  0.200000E-012!  0.280000E-011!  0.413038E-007!  0.136300E-007!  0.187900E-005!  0.649600E-009!  0.825000E-010!  0.612460E-008!  0.187790E-008!  0.239310E-008!  0.188100E-009!  0.701300E-009!  0.865800E-008!  0.659000E-008!  0.717100E-008!         0.7905!         0.2095!
