ATLAS3-SUSIM  13 Nov 1994.
Wavelength in nm and Irradiance in mW/m2/nm
0.15 nm resolution (FWHM)
 
Wavelength Irradiance
  162.01  2.3279e-01
  162.06  2.3528e-01
  162.11  2.5422e-01
  162.16  2.7333e-01
  162.21  2.7634e-01
  162.26  2.8612e-01
  162.31  2.9491e-01
  162.36  2.8651e-01
  162.41  2.5147e-01
  162.46  2.6055e-01
  162.51  2.8397e-01
  162.56  3.3720e-01
  162.61  3.2114e-01
  162.66  2.7063e-01
  162.71  2.6998e-01
  162.76  2.7849e-01
  162.81  2.6560e-01
  162.86  2.7428e-01
  162.91  2.9985e-01
  162.96  3.0880e-01
  163.01  2.8482e-01
  163.06  2.6078e-01
  163.11  2.5243e-01
  163.16  2.5805e-01
  163.21  2.7402e-01
  163.26  3.1401e-01
  163.31  3.1375e-01
  163.36  3.2112e-01
  163.41  3.3461e-01
  163.46  3.0736e-01
  163.51  2.6965e-01
  163.56  2.6656e-01
  163.61  2.6595e-01
  163.66  2.8782e-01
  163.71  3.3025e-01
  163.76  3.4389e-01
  163.81  3.2896e-01
  163.86  2.8515e-01
  163.91  2.8983e-01
  163.96  3.6263e-01
  164.01  4.6894e-01
  164.06  5.1309e-01
  164.11  3.9286e-01
  164.16  3.0556e-01
  164.21  2.9324e-01
  164.26  2.9993e-01
  164.31  3.3802e-01
  164.36  3.7578e-01
  164.41  3.6460e-01
  164.46  3.2938e-01
  164.51  3.1464e-01
  164.56  3.0528e-01
  164.61  2.9597e-01
  164.66  2.9560e-01
  164.71  3.0277e-01
  164.76  3.0610e-01
  164.81  2.9873e-01
  164.86  2.9898e-01
  164.91  3.1741e-01
  164.96  3.2952e-01
  165.01  3.0709e-01
  165.06  2.9061e-01
  165.11  2.8819e-01
  165.16  2.9650e-01
  165.21  2.9224e-01
  165.26  2.9557e-01
  165.31  2.9105e-01
  165.36  3.1100e-01
  165.41  3.6761e-01
  165.46  3.7847e-01
  165.51  3.5815e-01
  165.56  3.8858e-01
  165.61  6.8727e-01
  165.66  8.9887e-01
  165.71  9.8368e-01
  165.76  1.0338e+00
  165.81  9.1736e-01
  165.86  6.6920e-01
  165.91  5.7007e-01
  165.96  5.0331e-01
  166.01  4.0629e-01
  166.06  3.5477e-01
  166.11  3.6958e-01
  166.16  3.6219e-01
  166.21  3.5970e-01
  166.26  3.7693e-01
  166.31  4.0568e-01
  166.36  4.1212e-01
  166.41  3.7916e-01
  166.46  3.4312e-01
  166.51  3.4375e-01
  166.56  3.6479e-01
  166.61  3.9169e-01
  166.66  4.0381e-01
  166.71  3.7065e-01
  166.76  3.5792e-01
  166.81  3.4904e-01
  166.86  3.4403e-01
  166.91  3.5709e-01
  166.96  3.7490e-01
  167.01  4.1624e-01
  167.06  5.7979e-01
  167.11  5.7786e-01
  167.16  4.5186e-01
  167.21  3.3189e-01
  167.26  3.3886e-01
  167.31  3.7650e-01
  167.36  4.1980e-01
  167.41  4.3810e-01
  167.46  4.5627e-01
  167.51  4.1254e-01
  167.56  3.8198e-01
  167.61  3.7896e-01
  167.66  4.1504e-01
  167.71  4.2803e-01
  167.76  4.0426e-01
  167.81  3.9286e-01
  167.86  3.9209e-01
  167.91  4.1897e-01
  167.96  4.3343e-01
  168.01  4.2129e-01
  168.06  4.2440e-01
  168.11  4.5857e-01
  168.16  4.4606e-01
  168.21  4.0172e-01
  168.26  4.0521e-01
  168.31  4.1772e-01
  168.36  4.3306e-01
  168.41  4.3290e-01
  168.46  4.3028e-01
  168.51  4.3747e-01
  168.56  5.0003e-01
  168.61  5.7967e-01
  168.66  6.0680e-01
  168.71  5.6532e-01
  168.76  4.9282e-01
  168.81  5.0832e-01
  168.86  5.4030e-01
  168.91  5.2810e-01
  168.96  5.0587e-01
  169.01  5.4320e-01
  169.06  5.6806e-01
  169.11  5.9667e-01
  169.16  5.9717e-01
  169.21  5.6808e-01
  169.26  5.6087e-01
  169.31  5.5620e-01
  169.36  5.8022e-01
  169.41  6.2012e-01
  169.46  6.3640e-01
  169.51  6.3332e-01
  169.56  6.1146e-01
  169.61  6.0604e-01
  169.66  7.0011e-01
  169.71  7.3514e-01
  169.76  7.0931e-01
  169.81  6.1457e-01
  169.86  6.4323e-01
  169.91  6.8081e-01
  169.96  6.8731e-01
  170.01  6.5677e-01
  170.06  6.4717e-01
  170.11  7.0054e-01
  170.16  7.7834e-01
  170.21  8.3367e-01
  170.26  7.6822e-01
  170.31  6.8697e-01
  170.36  6.8702e-01
  170.41  6.7532e-01
  170.46  6.8403e-01
  170.51  6.7146e-01
  170.56  6.5318e-01
  170.61  6.6620e-01
  170.66  6.7002e-01
  170.71  6.6673e-01
  170.76  6.5939e-01
  170.81  6.9585e-01
  170.86  7.6102e-01
  170.91  7.8081e-01
  170.96  7.7150e-01
  171.01  7.5628e-01
  171.06  7.3446e-01
  171.11  7.1536e-01
  171.16  6.9688e-01
  171.21  6.4598e-01
  171.26  6.4980e-01
  171.31  7.3164e-01
  171.36  6.9707e-01
  171.41  6.3627e-01
